Num,QuestionT,answerA,answerB
1,둘 중 하나를 선택한다면?,원하는 차 한대,평생 택시 무료
2,반려동물과 함께 한다면?,고양이,강아지
3,처음보는 여행지에서 점심시간이 다 되었을때,가장 유명한 맛집을 검색,걷다가 끌리는 가게를 선택
4,특별한 날 식사를 한다면,스테이크 먹으러 가자! 외식파,맘에 드는거 다 사서 해먹자!
5,사람이 붐비는 기념일에는?,집에서 편안한 시간 보내기,번화가로 나가서 놀기
6,둘 중 더 좋아하는 계절은,초록초록한 여름,눈 내리는 겨울
7,둘 중 내가 더 좋아하는 여행지는?,산이나 들판,바다나 계곡
8,친구의 생일이 다가온다면?,깜짝선물을 준비,친구에게 원하는 것을 질문
9,더 선호하는 빵 타입은?,고로케. 피자빵 등 짠 빵,슈크림. 초코빵 등 단 빵
10,더 선호하는 아이스크림 타입은?,상큼한 샤베트 아이스크림,달고 진득한 아이스크림
11,더 선호하는 애인 유형은?,기념일을 끝내주게 챙겨주는 애인,평소에 남들보다 잘 챙겨주는 애인
12,나랑 잘 맞는 가치관은?,모르는 게 상책,모르는 개 산책
13,하나만 선택해야 한다면,오직 평생 진실만 말하기,오직 평생 거짓말만 하기
14,내 이상형에 가까운 타입은?,귀여운 외모에 섹시한 성격,섹시한 외모에 귀여운 성격
15,카페에 가면....,맑은 정신을 위한 카페인음료,아직 커피는 좀... 기타 음료
16,1인 1닭은...,당연히 가능하지~!,솔직히 배부르다. 못해 난
17,중국집에서 더 선호하는 메뉴는?,무난한 짜장면이 진리,얼큰한 짬뽕으로 스트레스 날려
18,옷 구매시 가치관은?,양보다 질,질보다 양
19,라면을 끓일 때 말이야,생수나 정수기 물로만 끓인다.,수돗물로도 끓인다.
20,냉면 먹을 때 하나만 먹어야 한다면?,노른자만 먹기,흰자만 먹기
21,고기 먹을 때 하나만 먹어야 한다면?,된장찌개랑 먹기,냉면이랑 먹기
22,나는 죽어서 장기기증을....,하고싶지 않다.,하고싶다.
23,둘 중 더 선호하는 것은?,짝수가 좋다,홀수가 좋다
24,여름에 샤워는 말이야!,난 추워. 여름에도 따뜻한 물,여름엔 더우니까 시원하게 샤워
25,이열치열에 대한 생각은?,말도 안된다. 더우면 시원한 걸 먹어야지,현명한 조상님들. 이열치열이 옳다.
26,길을 가다 길잃은 아기너구리를 보았다.,무시하고 갈 길 간다.,엄마 너구리가 근처에 없는지 살펴본다.
27,더 선호하는 스포츠는?,여름에 한강에서 스케이트보드타기,겨울에 스키장에서 스키타기
28,더 선호하는 꽃 타입은?,심플하게 큰 꽃 한 송이,올망졸망 작은 꽃 여러 송이
29,내가 슈퍼 히어로가 된다면?,아이언맨,스파이더맨
30,내가 공룡으로 태어난다면?,육식 공룡,초식 공룡
31,둘 중 하나를 선택한다면?,물복,딱복
32,더 고통스러운 날씨는?,폭염,한파
33,더 선호하는 패션 스타일은?,캐주얼,모던
34,둘 중 하나를 선택한다면?,시원한 소맥,향긋한 와인
35,나의 재테크 스타일은?,저축,투자
36,더 선호하는 ott는?,넷플릭스,왓챠
37,추운 겨울.. 주머니 속 3천원으로,붕어빵 사먹기,어묵 사먹기
38,타임머신을 탈 수 있다면?,과거로 슝,미래로 슝
39,포기할 수 없는 것은?,밥,잠
40,둘 중 더 서러운 상황은?,춥고 배고플 때,아픈데 못 쉴 때
41,더 좋아하는 장르는?,로맨틱 코미디,액션 스릴러
42,내가 그리스 로마 신화의 신이 된다면?,신들의 왕. 제우스,지혜의 여신. 아테나
43,개학이 하루 남았다! 둘 중 더 자신 있는 것은?,밀린 일기 쓰기,밀린 독후감 쓰기
44,시리얼은 이렇게 먹어야 제 맛!,눅눅하게,바삭하게
45,둘 중 더 좋아하는 것은?,밥,빵
46,나에게 더 친숙한 것은?,엑셀,파워포인트
47,한가지만 살 수 있다면?,데스크탑,노트북
48,이런 선생님이 더 좋았다!,친구같은 선생님,수업 잘하는 선생님
49,사자 vs 호랑이,사자,호랑이
50,냉면은?,물냉면,비빔냉면
51,치킨은?,후라이드,양념
52,선호하는 수박 먹는 스타일은?,깍둑썰기,손으로 들고 베어먹기
53,선호하는 밥 스타일은?,된밥,진밥
54,콜라 vs 사이다,콜라,사이다
55,좋아하는 고기는?,소,돼지
56,발사이즈 150mm vs 350mm,150mm,350mm
57,치킨 vs 피자,치킨,피자
58,평생 한 음식을 못먹는다면...,김치,커피
59,더 선호하는 길거리 간식은?,와플,호떡
60,이사하는 날 짜장면 vs 비 오는 날 파전,짜장면,파전
61,감자튀김에 간장 vs 회에 케첩,감튀 간장,회 케첩
62,인어로 살기 vs 어인으로 살기,인어,어인
63,용의 꼬리 vs 뱀의 머리,용꼬리용용,뱀뱀뱀머리
64,팥호빵 vs 야채호빵,팥호빵,야채호빵
65,직장 상사로 누구?,친절한데 무능,무서운데 철저
66,빅맥세트 vs 상스치콤,빅맥세트,상스치콤
67,선호하는 꽃은?,장미,튤립
68,톰 vs 제리,톰,제리
69,나의 여행 성향은?,관광,휴양
70,붕어빵은,슈크림,팥
71,좋아하는 밤 풍경,반짝이는 도시 야경,별로 가득한 시골 밤하늘
72,내가 선호하는 것은?,전화,문자
73,양자택일,잠 안 자도 멀쩡,많이 먹어도 살 안 찜
74,치킨은,순살 치킨,뼈 있는 치킨
75,48시간 동안,깨어있기,금식
76,둘 중 더 싫은 것은?,탄산 빠진 탄산음료,녹아버린 아이스크림
77,둘 중 하나를 해야 한다면?,추운 겨울에 반바지만 입기,더운 여름에 패딩 입기
78,시리얼 먹을 때 먼저 따르는 것,시리얼,우유
79,둘 중 선택한다면?,30% 확률로 70만원 얻음,70% 확률로 30만원 얻음
80,더 아까운 것은?,요플레 뚜껑 그냥 버리기,쭈쭈바 꼬다리 그냥 버리기
81,평생,손톱 3cm,발톱 3cm
82,내가 더 잘하고 싶은 것은?,춤,노래
83,핸드폰 바꿨을 때 더 멘붕인 상황은?,사진 다 날라감,연락처 다 날라감
84,하나를 선택해야 한다면,190cm 바퀴벌레랑 살기,190마리 바퀴벌레랑 살기
85,한 가지 능력을 얻을 수 있다면?,10가지 언어 말하는 능력,10가지 악기 연주하는 능력
86,더 좋아하는 것은?,일출 보기,일몰 보기
87,더 견디기 힘든 것은?,히터 없는 겨울,에어컨 없는 여름
88,양자 택일,백수로 월 300,직장인으로 월 900
89,더 자주 보는 것은?,드라마,영화
91,휴일에는,집에서 놀기,밖에 나가기
92,짧은 거리를 이동할때는,걸어가기,대중교통 이용하기
93,심심할 때는,웹툰,유튜브
94,노래방에서 노래할 때,신나는 노래,잔잔한 노래
95,좋아하는 음식은,맨 처음 먹기,맨 마지막에 먹기
96,축하할 일이 있을때,케이크 사먹기,고기 사먹기
97,좋아하는 TV프로그램,예능 프로그램,드라마 정주행
98,둘 중 선호하는 음식은?,햄버거,토스트
99,선호하는 탄산음료는?,콜라,사이다
100,나는,트랜드 세터,나만의 스타일
101,음료는,따뜻하게,차갑게
102,받았을 때 더 기쁜 선물은,내가 갖고 싶었던 것,친구가 주고싶어 한 것
103,꽃을 선물받는다면?,생화,조화
104,메모할 때 선호하는 방식은?,핸드폰에 메모,손글씨로 메모
105,급한 일이 있을때는,메신저로 급한 일이 있는데... 연락하기,일단 전화하기
106,점심 메뉴 고르기 힘들 때,다른 친구에게 골라달라고 하기,룰렛 돌려서 고르기
107,할 일이 많을 때는,생각나는 것부터 하나씩 처리하기,계획을 세우고 계획대로 착착 진행하기
108,이어폰을 고를 때는,노이즈 캔슬링 기능이 필요해,합리적 가격이 중요해
109,무인도에 간다면,외로워 어떡해,배고파 어떡해
